objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
coll001,Kurlan_01_overlay.jpeg,Cloud Pedestal Study,Cali D. kurlan,2026,Mandelbrot,variation,irregularity produces coherence,variation,,0.8,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,
coll002,Kurlan_01_overlay.jpeg,Cloud Pedestal Study,Cali D. kurlan,2026,O'Doherty,constraint,the gallery space is not neutral,constraint,,0.7,,,,,,,,,,,,,,,
coll003,Kurlan_01_overlay.jpeg,Cloud Pedestal Study,Cali D. kurlan,2026,Wittgenstein,perception,Meaning is use within a system,perception,,0.4,,,,,,,,,,,,,,,
coll004,Kurlan_01_overlay.jpeg,Cloud Pedestal Study,Cali D. kurlan,2026,Deleuze,difference,Repetition produces difference,variation,,0.2,,,,,,,,,,,,,,,
coll005,Kurlan_01_overlay.jpeg,Cloud Pedestal Study,Cali D. kurlan,2026,,,,,,,,,,,,,,,,,,,,,
coll006,controlled_visual_System_01,,,image/png,Foundational visual legend outlining the controlled structure and variable overlays within the system.,JurisArt Atelier,,2026,no,Legend / System Diagram,visual systems; metadata; contro vs variable; image theory,,,,,,Artist collection,,,,,In Copyright,image,,
coll007,,,,,,,,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,,,,,,,,
